<http://purl.obolibrary.org/obo/UBERON	UBERON
<http://purl.obolibrary.org/obo/HP	HP
<http://purl.obolibrary.org/obo/GO	GO
<http://purl.obolibrary.org/obo/NCBITaxon	NCBITaxon
<http://purl.obolibrary.org/obo/MONDO	MONDO
<http://purl.obolibrary.org/obo/CL	CL
<http://purl.obolibrary.org/obo/CHEBI	CHEBI
<http://purl.obolibrary.org/obo/PR	PR
<http://purl.obolibrary.org/obo/ECTO	ECTO
<http://purl.obolibrary.org/obo/PATO	PATO
<http://purl.obolibrary.org/obo/NCIT	NCIT
<http://purl.obolibrary.org/obo/ENVO	ENVO
<http://purl.obolibrary.org/obo/MFOMD	MFOMD
<http://purl.obolibrary.org/obo/MF	MF
<http://purl.obolibrary.org/obo/NBO	NBO
<http://purl.obolibrary.org/obo/	SO
<http://purl.obolibrary.org/obo/MFOEM	MFOEM
<http://identifiers.org/hgnc/	hgnc
