Var1,Var2,Var3,Freq
mondo->icd,forward,mydata:mdbxr,9971
mondo->snomed->NLM mappings->icd9,forward,mydata:mdbxr,4060
mondo->snomed->NLM mappings->icd9,forward,skos:exactMatch,4060
mondo->snomed->NLM mappings->icd9,forward,owl:equivalentClass,4059
mondo->snomed->CUI->icd,forward,mydata:mdbxr,3696
mondo->snomed->CUI->icd,forward,skos:exactMatch,3696
mondo->snomed->CUI->icd,forward,owl:equivalentClass,3695
mondo->CUI->icd,forward,skos:exactMatch,3089
mondo->CUI->icd,forward,mydata:mdbxr,2926
mondo->CUI->icd,reverse,owl:equivalentClass,2925
mondo->icd,reverse,owl:equivalentClass,1942
mondo->CUI->icd,forward,skos:closeMatch,1455
mondo->snomed->CUI->icd,forward,skos:closeMatch,963
mondo->snomed->NLM mappings->icd9,forward,skos:closeMatch,597
