"?md"	"?mdl"	"?route"	"?code"	"?codelab"
"1"	"obo:MONDO_0008903"	"lung cancer"	"path:m-dbxr-snomed-shared_cui-i10"	"ICD10CM:C78.02"	"\"Secondary malignant neoplasm of left lung\"@en"
"2"	"obo:MONDO_0008903"	"lung cancer"	"path:m-eqClass-snomed-shared_cui-i10"	"ICD10CM:C78.02"	"\"Secondary malignant neoplasm of left lung\"@en"
"3"	"obo:MONDO_0008903"	"lung cancer"	"path:m-exMatch-snomed-shared_cui-i10"	"ICD10CM:C78.02"	"\"Secondary malignant neoplasm of left lung\"@en"
"4"	"obo:MONDO_0008903"	"lung cancer"	"path:m-dbxr-snomed-shared_cui-i10"	"ICD10CM:C78.0"	"\"Secondary malignant neoplasm of lung\"@en"
"5"	"obo:MONDO_0008903"	"lung cancer"	"path:m-eqClass-snomed-shared_cui-i10"	"ICD10CM:C78.0"	"\"Secondary malignant neoplasm of lung\"@en"
"6"	"obo:MONDO_0008903"	"lung cancer"	"path:m-exMatch-snomed-shared_cui-i10"	"ICD10CM:C78.0"	"\"Secondary malignant neoplasm of lung\"@en"
"7"	"obo:MONDO_0008903"	"lung cancer"	"path:m-dbxr-snomed-shared_cui-i10"	"ICD10CM:C78.00"	"\"Secondary malignant neoplasm of unspecified lung\"@en"
"8"	"obo:MONDO_0008903"	"lung cancer"	"path:m-eqClass-snomed-shared_cui-i10"	"ICD10CM:C78.00"	"\"Secondary malignant neoplasm of unspecified lung\"@en"
"9"	"obo:MONDO_0008903"	"lung cancer"	"path:m-exMatch-snomed-shared_cui-i10"	"ICD10CM:C78.00"	"\"Secondary malignant neoplasm of unspecified lung\"@en"
"10"	"obo:MONDO_0008903"	"lung cancer"	"path:m-dbxr-snomed-shared_cui-i10"	"ICD10CM:C78.01"	"\"Secondary malignant neoplasm of right lung\"@en"
"11"	"obo:MONDO_0008903"	"lung cancer"	"path:m-eqClass-snomed-shared_cui-i10"	"ICD10CM:C78.01"	"\"Secondary malignant neoplasm of right lung\"@en"
"12"	"obo:MONDO_0008903"	"lung cancer"	"path:m-exMatch-snomed-shared_cui-i10"	"ICD10CM:C78.01"	"\"Secondary malignant neoplasm of right lung\"@en"
"13"	"obo:MONDO_0008903"	"lung cancer"	"path:m-dbxr-snomed-shared_cui-i10"	"ICD10CM:C46.5"	"\"Kaposi's sarcoma of lung\"@en"
"14"	"obo:MONDO_0008903"	"lung cancer"	"path:m-eqClass-snomed-shared_cui-i10"	"ICD10CM:C46.5"	"\"Kaposi's sarcoma of lung\"@en"
"15"	"obo:MONDO_0008903"	"lung cancer"	"path:m-exMatch-snomed-shared_cui-i10"	"ICD10CM:C46.5"	"\"Kaposi's sarcoma of lung\"@en"
"16"	"obo:MONDO_0008903"	"lung cancer"	"path:m-dbxr-snomed-shared_cui-i10"	"ICD10CM:C46.50"	"\"Kaposi's sarcoma of unspecified lung\"@en"
"17"	"obo:MONDO_0008903"	"lung cancer"	"path:m-eqClass-snomed-shared_cui-i10"	"ICD10CM:C46.50"	"\"Kaposi's sarcoma of unspecified lung\"@en"
"18"	"obo:MONDO_0008903"	"lung cancer"	"path:m-exMatch-snomed-shared_cui-i10"	"ICD10CM:C46.50"	"\"Kaposi's sarcoma of unspecified lung\"@en"
"19"	"obo:MONDO_0008903"	"lung cancer"	"path:m-dbxr-snomed-shared_cui-i10"	"ICD10CM:C46.51"	"\"Kaposi's sarcoma of right lung\"@en"
"20"	"obo:MONDO_0008903"	"lung cancer"	"path:m-eqClass-snomed-shared_cui-i10"	"ICD10CM:C46.51"	"\"Kaposi's sarcoma of right lung\"@en"
"21"	"obo:MONDO_0008903"	"lung cancer"	"path:m-exMatch-snomed-shared_cui-i10"	"ICD10CM:C46.51"	"\"Kaposi's sarcoma of right lung\"@en"
"22"	"obo:MONDO_0008903"	"lung cancer"	"path:m-dbxr-snomed-shared_cui-i10"	"ICD10CM:C46.52"	"\"Kaposi's sarcoma of left lung\"@en"
"23"	"obo:MONDO_0008903"	"lung cancer"	"path:m-eqClass-snomed-shared_cui-i10"	"ICD10CM:C46.52"	"\"Kaposi's sarcoma of left lung\"@en"
"24"	"obo:MONDO_0008903"	"lung cancer"	"path:m-exMatch-snomed-shared_cui-i10"	"ICD10CM:C46.52"	"\"Kaposi's sarcoma of left lung\"@en"
"25"	"obo:MONDO_0008903"	"lung cancer"	"path:m-dbxr-snomed-shared_cui-i9"	"ICD9CM:176.4"	"\"Kaposi's sarcoma, lung\"@en"
"26"	"obo:MONDO_0008903"	"lung cancer"	"path:m-eqClass-snomed-shared_cui-i9"	"ICD9CM:176.4"	"\"Kaposi's sarcoma, lung\"@en"
"27"	"obo:MONDO_0008903"	"lung cancer"	"path:m-exMatch-snomed-shared_cui-i9"	"ICD9CM:176.4"	"\"Kaposi's sarcoma, lung\"@en"
